Wall time,Step,Value
1682884916.9888768,500,1.9358999729156494
1682885444.380274,1000,0.9422000050544739
1682885967.7803514,1500,0.7760000228881836
1682886609.4700851,2000,0.6218000054359436
1682887124.5043874,2500,0.43630000948905945
1682887642.3898726,3000,0.1518000066280365
1682888290.2531717,3500,0.05790000036358833
1682888805.6187088,4000,0.043699998408555984
1682889321.3198795,4500,0.0364999994635582
1682889965.3241448,5000,0.03200000151991844
1682890482.5494134,5500,0.02879999950528145
