Wall time,Step,Value
1683027646.2629414,500,2.444999933242798
1683028423.3471205,1000,0.8324000239372253
1683029210.1340237,1500,0.7566999793052673
1683030191.6584103,2000,0.6947000026702881
1683030979.2992182,2500,0.6579999923706055
1683031743.0262868,3000,0.6186000108718872
1683032735.554612,3500,0.5799999833106995
1683033517.8382876,4000,0.5533000230789185
1683034299.1461353,4500,0.527899980545044
1683035269.2899494,5000,0.49639999866485596
1683036056.3194695,5500,0.48030000925064087
