Wall time,Step,Value
1682903948.4055233,500,2.067699909210205
1682904530.348554,1000,0.8313999772071838
1682905114.5580497,1500,0.7562999725341797
1682905850.5592625,2000,0.695900022983551
1682906435.5226862,2500,0.6590999960899353
1682907020.8185651,3000,0.6205000281333923
1682907757.7014787,3500,0.5821999907493591
1682908342.0742805,4000,0.5552999973297119
1682908928.3628733,4500,0.5295000076293945
1682909661.6861436,5000,0.4977000057697296
1682910247.9544656,5500,0.48179998993873596
